Route Name,Route Link,Bus Name,Bus Type,Departing Time,Duration,Reaching Time,Star Rating,Price,Seats Available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - HDD0085,Ordinary Non AC Seater 2+3,16:06,08h 19m,00:25,3.3,444,"52 Seats available
18 Window"
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - BLY0076,Ordinary Non AC Seater 2+3,16:30,05h 00m,21:30,"2.8
4",415,"52 Seats available
18 Window"
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - BLY0148,Rajdhani Non AC Seater 2+3,17:00,05h 00m,22:00,"3.3
3",448,"52 Seats available
18 Window"
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - BRT0036,Ordinary Non AC Seater 2+3,17:00,07h 10m,00:10,3.3,449,"52 Seats available
18 Window"
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - SRG0229,Ordinary Non AC Seater 2+3,17:00,05h 35m,22:35,3.3,418,"52 Seats available
18 Window"
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - BLY0107,Janrath AC Seater 2+2,17:02,04h 43m,21:45,"2.9
12",598,"36 Seats available
16 Window"
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - HDD0090,Ordinary Non AC Seater 2+3,17:04,09h 46m,02:50,3.3,444,"52 Seats available
20 Window"
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - GRH0125,Ordinary Non AC Seater 2+3,17:30,05h 50m,23:20,3.3,418,"52 Seats available
18 Window"
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - AWD0225,Shatabdi AC Seater 2+2,17:30,05h 25m,22:55,3.3,598,"35 Seats available
15 Window"
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - KSB0892,Shatabdi AC Seater 2+2,17:35,06h 05m,23:40,3.3,598,"37 Seats available
16 Window"
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - HDD0082,Ordinary Non AC Seater 2+3,18:02,05h 13m,23:15,3.3,444,"52 Seats available
18 Window"
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - RKD0137,Shatabdi AC Seater 2+2,18:05,05h 00m,23:05,"2.6
6",598,"37 Seats available
16 Window"
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - HDD0092,Ordinary Non AC Seater 2+3,18:20,05h 42m,00:02,3.3,415,"52 Seats available
20 Window"
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - HDD0006,Janrath AC Seater 2+2,18:30,06h 30m,01:00,"3.3
1",602,"36 Seats available
16 Window"
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - HDD0113,Rajdhani Non AC Seater 2+3,18:31,06h 29m,01:00,3.3,444,"51 Seats available
19 Window"
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - SRG0226,Ordinary Non AC Seater 2+3,19:00,05h 19m,00:19,3.3,450,"52 Seats available
18 Window"
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - SBD0110,Pink Express AC Seater 2+2,19:01,05h 59m,01:00,3.3,598,"41 Seats available
18 Window"
