Route Name,Route Link,Bus Name,Bus Type,Departing Time,Duration,Reaching Time,Star Rating,Price,Seats Available
Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,The Joy Ride,A/C Seater / Sleeper (2+2),21:15,06h 20m,03:35,"5.0
1",488,"33 Seats available
12 Window"
Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Arunita Paribahan,A/C Seater (2+3),23:35,05h 25m,05:00,"5.0
2",370,"21 Seats available
6 Window"
Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Aradhana Bus Service,Non AC Seater (2+3),16:50,06h 40m,23:30,"1.0
2",350,"54 Seats available
21 Window"
Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Aradhana Travels,A/C Seater / Sleeper (2+2),18:35,05h 20m,23:55,"1.1
11",450,"20 Seats available
10 Window"
Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Satya Paribahan,A/C Seater (2+3),23:00,06h 10m,05:10,"2.6
32",320,"41 Seats available
14 Window"
Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Snemita Paribahan (Shinjini),AC Seater (2+3),23:35,05h 25m,05:00,"2.4
17",370,"22 Seats available
8 Window"
Durgapur to Calcutta,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-BANKURA - KARUNAMOYEE - A/C - 15:15 - 1500,AC Seater (2+2),17:00,04h 00m,21:00,"2.1
85",300,"19 Seats available
4 Window"
Durgapur to Calcutta,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-ASANSOL - KARUNAMOYEE - 16:10 (BEL DEPOT) - 217,Non AC Seater (2+3),17:25,04h 00m,21:25,"3.2
76",155,"46 Seats available
14 Window"
Durgapur to Calcutta,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-ASANSOL - KOLKATA - 16:30 (HOWRAH DEPOT) - 752,Non AC Seater (2+3),17:40,03h 30m,21:10,"3.9
39",150,"51 Seats available
17 Window"
Durgapur to Calcutta,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-ASANSOL - KARUNAMOYEE - 16:40 (ASANSOL DEPOT) - 847,Non AC Seater (2+3),17:50,04h 10m,22:00,"3.6
75",155,"46 Seats available
14 Window"
Durgapur to Calcutta,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo Multi-Axle A/C Semi Sleeper (2+2),16:00,04h 00m,20:00,"4.3
363",486,"20 Seats available
3 Window"
Durgapur to Calcutta,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Greenline,Volvo A/C Seater (2+2),16:00,03h 50m,19:50,"4.0
149",486,"17 Seats available
5 Window"
Durgapur to Calcutta,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Express Line (Karunamoyee),Volvo A/C Seater (2+2),16:30,03h 55m,20:25,"4.7
139",486,"25 Seats available
6 Window"
Durgapur to Calcutta,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),16:30,04h 00m,20:30,"3.9
163",486,"24 Seats available
4 Window"
Durgapur to Calcutta,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),16:45,04h 00m,20:45,"4.1
263",486,"25 Seats available
6 Window"
Durgapur to Calcutta,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Greenline,Volvo A/C Seater (2+2),17:10,03h 50m,21:00,"4.0
116",486,"24 Seats available
10 Window"
Durgapur to Calcutta,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Greenline (Karunamoyee),Volvo A/C Seater (2+2),17:30,03h 50m,21:20,"3.9
219",486,"17 Seats available
8 Window"
Durgapur to Calcutta,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo B11R Multi Axle Seater (2+2),17:50,03h 45m,21:35,"4.2
301",486,"32 Seats available
11 Window"
Durgapur to Calcutta,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),18:15,03h 45m,22:00,"3.9
113",486,"29 Seats available
12 Window"
Durgapur to Calcutta,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Express Line,Volvo A/C Seater (2+2),18:30,04h 20m,22:50,"4.4
284",486,"22 Seats available
6 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,SBSTC-DIGHA - GARIA - VIA - KOLKATA - 16:40 (FALTA DEPOT - 3704,Non AC Seater (2+3),16:40,04h 30m,21:10,"3.5
42",155,"52 Seats available
18 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,SBSTC-DIGHA - KOLKATA - 17:15 (DIGHA DEPOT) - 1158,Non AC Seater (2+3),17:15,04h 30m,21:45,"1.0
2",155,"52 Seats available
18 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,WBTC (CTC) Tollygunge - Digha - 200|16:30,Non AC Seater (2+3),16:30,04h 15m,20:45,"3.8
29",145,"45 Seats available
14 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,Sneha Gold Bus Service,A/C Seater (2+3),16:30,05h 00m,21:30,"4.4
18",300,"19 Seats available
7 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,Snemita Paribahan(Shinjini),A/C Seater (2+3),22:45,05h 25m,04:10,"3.6
30",330,"21 Seats available
8 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,City Express (Shinjini),AC Seater (2+3),22:45,05h 25m,04:10,"3.2
32",320,"26 Seats available
10 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,Satya Paribahan,A/C Seater (2+3),23:00,04h 45m,03:45,"2.9
30",320,"41 Seats available
14 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,Snemita Paribahan(SHINJINI),A/C Seater (2+3),16:00,04h 30m,20:30,"2.3
23",370,"17 Seats available
7 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,Satya Paribahan,A/C Seater (2+3),23:30,04h 10m,03:40,"1.8
25",270,"44 Seats available
15 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,SANTOSH BUS SERVICE,AC Seater (2+3),17:05,04h 25m,21:30,New,323,"25 Seats available
10 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,Snemita Paribahan (Shinjini),AC Seater (2+3),23:35,04h 10m,03:45,"2.0
15",370,"22 Seats available
8 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,Parameswar Travels,A/C Seater Push Back (2+3),18:10,05h 05m,23:15,"2.2
13",285,"31 Seats available
10 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,Basu Travels,A/C Seater Push Back (2+3),17:30,05h 00m,22:30,"2.3
8",419,"30 Seats available
12 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,Parameswar Travels,A/C Seater Push Back (2+3),20:00,05h 35m,01:35,"3.4
8",285,"20 Seats available
8 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,Snemita Parisheba(Santosh),A/C Seater Push Back (2+3),23:00,05h 20m,04:20,"2.2
9",370,"25 Seats available
10 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,City Express (Shinjini),AC Seater (2+3),16:00,04h 30m,20:30,"2.1
9",370,"26 Seats available
8 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,Aradhana Travels,A/C Seater / Sleeper (2+2),18:35,04h 25m,23:00,"2.0
14",450,"20 Seats available
10 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,Sree Jagannath Travels,A/C Seater Push Back (2+3),16:15,04h 55m,21:10,"1.2
5",250,"29 Seats available
12 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,Snemita Parisheba(SNEHA GOLD),AC Seater (2+3),16:40,04h 30m,21:10,"3.3
41",370,"37 Seats available
13 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,Bengal Surface Transport,A/C Seater Push Back (2+3),17:30,05h 00m,22:30,"3.3
3",419,"36 Seats available
12 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,Aradhana Travels,A/C Seater / Sleeper (2+1),19:30,04h 29m,23:59,"1.6
16",450,"32 Seats available
10 Single"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,Snemita Parisheba(Santosh),A/C Seater Push Back (2+3),23:30,05h 00m,04:30,"2.8
21",370,"45 Seats available
17 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,Ankita Paribahan - Parameswar,A/C Seater (2+3),18:00,04h 40m,22:40,"2.4
5",300,"36 Seats available
12 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,Parameswar Travels,A/C Seater Push Back (2+3),21:00,06h 00m,03:00,"2.0
10",285,"15 Seats available
6 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,Snemita Parisheba,AC Seater (2+3),18:00,04h 30m,22:30,"2.4
5",370,"41 Seats available
14 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,Snemita Paribahan,A/C Seater (2+3),23:30,04h 30m,04:00,"2.1
11",330,"45 Seats available
16 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,Snemita Parisheba,AC Seater (2+3),17:00,04h 30m,21:30,"1.9
15",370,"36 Seats available
14 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,Arunita Paribahan,A/C Seater (2+3),23:35,04h 10m,03:45,"2.3
9",370,"21 Seats available
6 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,Aniruddha Travels,NON A/C Seater Push Back (2+3) (2+3),16:25,04h 50m,21:15,"1.0
4",250,"30 Seats available
12 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,Aradhana Bus Service,Non AC Seater (2+3),16:50,05h 40m,22:30,1.2,350,"54 Seats available
21 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,The Joy Ride,A/C Seater / Sleeper (2+2),21:15,05h 15m,02:30,"1.0
2",488,"33 Seats available
12 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,Samanta Travels,NON A/C Seater (2+3),16:00,05h 00m,21:00,"3.6
3",199,"61 Seats available
22 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,Satya Paribahan,A/C Seater (2+3),18:20,04h 40m,23:00,"3.0
3",370,"61 Seats available
22 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,Ankita Paribahan,Non AC Seater (2+3),18:20,04h 40m,23:00,"2.6
3",300,"46 Seats available
16 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,Ankita Paribahan,A/C Seater (2+3),17:00,04h 00m,21:00,"1.8
3",420,"40 Seats available
16 Window"
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,Aradhana Travels,Non AC Seater (2+3),21:45,05h 40m,03:25,"1.0
1",450,"19 Seats available
7 Window"
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,WBTC (CTC) Joka - Tollygunge - Digha - 99|16:30,Non AC Seater (2+3),16:30,05h 30m,22:00,3.3,151,"43 Seats available
13 Window"
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,WBTC (CTC) Khidderpur - Digha - 97|16:45,Non AC Seater (2+3),16:45,04h 15m,21:00,"3.1
44",145,"46 Seats available
13 Window"
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,WBTC (CTC) Joka - Tollygunge - Digha - 99|17:45,Non AC Seater (2+3),17:45,04h 15m,22:00,3.3,145,"43 Seats available
13 Window"
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),23:30,05h 00m,04:30,"4.4
347",300,"26 Seats available
9 Window"
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Express Line,Volvo 9600 A/C Seater (2+2),23:45,05h 00m,04:45,"4.3
322",299,"26 Seats available
12 Window"
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Mayuri Express,AC Seater (2+2),23:15,05h 15m,04:30,"4.2
182",449,"27 Seats available
11 Window"
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Sagufta Travels (Bhorpet Travels),AC Seater (2+2),23:55,04h 40m,04:35,"4.0
49",515,"24 Seats available
12 Window"
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Sagufta Travels(Janhabi),A/C Seater Push Back (2+3),16:45,04h 30m,21:15,"4.7
13",415,"18 Seats available
1 Single"
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Basu Travels,A/C Seater Push Back (2+3),23:30,05h 00m,04:30,"3.9
21",300,"28 Seats available
9 Window"
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,City Express (Shinjini),AC Seater (2+3),23:50,05h 05m,04:55,"2.9
63",370,"35 Seats available
12 Window"
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Snemita Paribahan (Bhorpet),AC Seater (2+2),23:55,04h 50m,04:45,"3.6
17",370,"29 Seats available
6 Single"
